## SLURM PROLOG ###############################################################
##    Job ID : 14741810
##  Job Name : Embeddings
##  Nodelist : gpu2007
##      CPUs : 1
##  Mem/Node : 32000 MB
## Directory : /oscar/scratch/jakhan/spatial-probing/scripts
##   Job Started : Mon Dec  8 11:49:35 AM EST 2025
###############################################################################

==========================================
Job started at: Mon Dec  8 11:49:38 AM EST 2025
Job ID: 14741810
Node: gpu2007
==========================================

GPU Information (from host):
Mon Dec  8 11:49:38 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.129.03             Driver Version: 535.129.03   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Quadro RTX 6000                On  | 00000000:40:00.0 Off |                  Off |
| 34%   26C    P8               5W / 260W |     10MiB / 24576MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     30714      G   /usr/libexec/Xorg                             8MiB |
+---------------------------------------------------------------------------------------+

PyTorch GPU Detection:
PT version: 2.7.1+cu118
Built with CUDA: True
GPUs detected: 1
GPU devices: ['Quadro RTX 6000']

==========================================
Installing dependencies
==========================================


==========================================
Starting main Python script at Mon Dec  8 11:49:41 AM EST 2025
==========================================

Working directory: /oscar/scratch/jakhan/spatial-probing/scripts

Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='CLIP', layer='2', probe='linear', dataset_name='RAVEN', data_config='center_single', task='Type', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.1015 | Test Loss: 1.1006 | Test Acc: 0.3285
[Epoch 2/45] Train Loss: 1.0996 | Test Loss: 1.0988 | Test Acc: 0.3355
[Epoch 3/45] Train Loss: 1.0995 | Test Loss: 1.0983 | Test Acc: 0.3355
[Epoch 4/45] Train Loss: 1.0983 | Test Loss: 1.0995 | Test Acc: 0.3355
[Epoch 5/45] Train Loss: 1.0997 | Test Loss: 1.0987 | Test Acc: 0.3365
[Epoch 6/45] Train Loss: 1.1001 | Test Loss: 1.0972 | Test Acc: 0.3840
[Epoch 7/45] Train Loss: 1.0982 | Test Loss: 1.0981 | Test Acc: 0.3700
[Epoch 8/45] Train Loss: 1.0977 | Test Loss: 1.0977 | Test Acc: 0.3500
[Epoch 9/45] Train Loss: 1.0978 | Test Loss: 1.0966 | Test Acc: 0.3830
[Epoch 10/45] Train Loss: 1.0965 | Test Loss: 1.0967 | Test Acc: 0.3350
[Epoch 11/45] Train Loss: 1.0964 | Test Loss: 1.0965 | Test Acc: 0.3355
[Epoch 12/45] Train Loss: 1.0960 | Test Loss: 1.0966 | Test Acc: 0.3670
[Epoch 13/45] Train Loss: 1.0962 | Test Loss: 1.0957 | Test Acc: 0.3920
[Epoch 14/45] Train Loss: 1.0963 | Test Loss: 1.0960 | Test Acc: 0.3350
[Epoch 15/45] Train Loss: 1.0953 | Test Loss: 1.0979 | Test Acc: 0.3735
[Epoch 16/45] Train Loss: 1.0957 | Test Loss: 1.0950 | Test Acc: 0.3810
[Epoch 17/45] Train Loss: 1.0947 | Test Loss: 1.0962 | Test Acc: 0.3335
[Epoch 18/45] Train Loss: 1.0955 | Test Loss: 1.0954 | Test Acc: 0.3695
[Epoch 19/45] Train Loss: 1.0943 | Test Loss: 1.0967 | Test Acc: 0.3520
[Epoch 20/45] Train Loss: 1.0945 | Test Loss: 1.0963 | Test Acc: 0.3405
