## SLURM PROLOG ###############################################################
##    Job ID : 14742235
##  Job Name : Embeddings
##  Nodelist : gpu2004
##      CPUs : 1
##  Mem/Node : 32000 MB
## Directory : /oscar/scratch/jakhan/spatial-probing/scripts
##   Job Started : Mon Dec  8 12:40:33 PM EST 2025
###############################################################################

==========================================
Job started at: Mon Dec  8 12:40:36 PM EST 2025
Job ID: 14742235
Node: gpu2004
==========================================

GPU Information (from host):
Mon Dec  8 12:40:36 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.129.03             Driver Version: 535.129.03   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Quadro RTX 6000                On  | 00000000:61:00.0 Off |                  Off |
| 33%   27C    P8              16W / 260W |     22MiB / 24576MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     30537      G   /usr/libexec/Xorg                            20MiB |
+---------------------------------------------------------------------------------------+

PyTorch GPU Detection:
PT version: 2.7.1+cu118
Built with CUDA: True
GPUs detected: 1
GPU devices: ['Quadro RTX 6000']

==========================================
Installing dependencies
==========================================


==========================================
Starting main Python script at Mon Dec  8 12:40:42 PM EST 2025
==========================================

Working directory: /oscar/scratch/jakhan/spatial-probing/scripts

Namespace(embedding_dir='/users/jakhan/scratch/embeddings/', save_dir='/users/jakhan/scratch/experiments', model='DINOv3', layer='0', probe='linear', dataset_name='RAVEN', data_config='center_single', task='Type', seed='42', lr='0.001', batch_size='64', epochs='45')
[Epoch 1/45] Train Loss: 1.1027 | Test Loss: 1.0992 | Test Acc: 0.3285
[Epoch 2/45] Train Loss: 1.0998 | Test Loss: 1.0994 | Test Acc: 0.3355
[Epoch 3/45] Train Loss: 1.1009 | Test Loss: 1.1008 | Test Acc: 0.3355
[Epoch 4/45] Train Loss: 1.1011 | Test Loss: 1.0988 | Test Acc: 0.3355
[Epoch 5/45] Train Loss: 1.1006 | Test Loss: 1.1029 | Test Acc: 0.3355
[Epoch 6/45] Train Loss: 1.1006 | Test Loss: 1.0989 | Test Acc: 0.3360
[Epoch 7/45] Train Loss: 1.1001 | Test Loss: 1.0990 | Test Acc: 0.3355
[Epoch 8/45] Train Loss: 1.0997 | Test Loss: 1.1018 | Test Acc: 0.3285
[Epoch 9/45] Train Loss: 1.1002 | Test Loss: 1.1016 | Test Acc: 0.3285
[Epoch 10/45] Train Loss: 1.1009 | Test Loss: 1.0986 | Test Acc: 0.3285
[Epoch 11/45] Train Loss: 1.1002 | Test Loss: 1.1011 | Test Acc: 0.3285
[Epoch 12/45] Train Loss: 1.0994 | Test Loss: 1.0987 | Test Acc: 0.3360
[Epoch 13/45] Train Loss: 1.1001 | Test Loss: 1.0993 | Test Acc: 0.3360
[Epoch 14/45] Train Loss: 1.0997 | Test Loss: 1.1019 | Test Acc: 0.3285
[Epoch 15/45] Train Loss: 1.0999 | Test Loss: 1.0991 | Test Acc: 0.3355
[Epoch 16/45] Train Loss: 1.0996 | Test Loss: 1.0994 | Test Acc: 0.3360
[Epoch 17/45] Train Loss: 1.1002 | Test Loss: 1.0990 | Test Acc: 0.3360
[Epoch 18/45] Train Loss: 1.0999 | Test Loss: 1.0992 | Test Acc: 0.3355
[Epoch 19/45] Train Loss: 1.1007 | Test Loss: 1.1016 | Test Acc: 0.3355
[Epoch 20/45] Train Loss: 1.1007 | Test Loss: 1.0990 | Test Acc: 0.3360
