model,layer,probe,dataset_name,data_config,task,acc,class_accs,class_names
CLIP,layer_0,linear,RAVEN,center_single,Color,0.238,"[0.0, 1.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_0,linear,RAVEN,center_single,Type,0.3355,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_0,linear,RAVEN,center_single,Size,0.243,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_0,linear,RAVEN,in_center_single_out_center_single,Size_1,0.229,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_0,linear,RAVEN,in_center_single_out_center_single,Type_1,0.343,"[1.0, 0.0, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_0,linear,RAVEN,in_center_single_out_center_single,Type_0,0.3505,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_0,linear,RAVEN,in_center_single_out_center_single,Size_0,0.392,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_0,linear,RAVEN,in_center_single_out_center_single,Color_1,0.2625,"[0.0, 1.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_0,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_0,MLP,RAVEN,center_single,Color,0.2425,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_0,MLP,RAVEN,center_single,Type,0.3355,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_0,MLP,RAVEN,center_single,Size,0.253,"[1.0, 0.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_0,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.2665,"[0.0, 1.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_0,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.343,"[1.0, 0.0, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_0,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.3505,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_0,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.392,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_0,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.2435,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_0,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_10,linear,RAVEN,center_single,Color,0.671,"[0.7764, 0.7248, 0.7031, 0.4683]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_10,linear,RAVEN,center_single,Type,0.7725,"[0.8571, 0.6484, 0.8092]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_10,linear,RAVEN,center_single,Size,0.5585,"[0.5178, 0.5096, 0.7449, 0.4671]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_10,linear,RAVEN,in_center_single_out_center_single,Size_1,0.4195,"[0.1779, 0.4447, 0.7598, 0.3212]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_10,linear,RAVEN,in_center_single_out_center_single,Type_1,0.5125,"[0.5714, 0.4094, 0.554]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_10,linear,RAVEN,in_center_single_out_center_single,Type_0,0.817,"[0.9467, 0.7156, 0.7946]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_10,linear,RAVEN,in_center_single_out_center_single,Size_0,0.484,"[0.4307, 0.0142, 0.7908]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_10,linear,RAVEN,in_center_single_out_center_single,Color_1,0.4815,"[0.4008, 0.5543, 0.6366, 0.3313]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_10,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_10,MLP,RAVEN,center_single,Color,0.7805,"[0.8145, 0.6555, 0.8351, 0.8098]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_10,MLP,RAVEN,center_single,Type,0.922,"[0.9762, 0.9178, 0.8718]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_10,MLP,RAVEN,center_single,Size,0.674,"[0.5692, 0.8506, 0.8251, 0.4424]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_10,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.463,"[0.6339, 0.2777, 0.6288, 0.3462]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_10,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.6195,"[0.57, 0.7352, 0.5556]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_10,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.9185,"[0.9734, 0.9168, 0.8702]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_10,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.606,"[0.6927, 0.0521, 0.8163]","['Constant', 'Progression', 'Distribute_Three']"
